ENSG00000000003	130
ENSG00000000005	182
ENSG00000000419	27
ENSG00000000457	66
ENSG00000000460	1075
ENSG00000000938	83
ENSG00000000971	360
ENSG00000001036	29
ENSG00000001084	293
ENSG00000001167	42
ENSG00000001460	221
ENSG00000001461	280
ENSG00000001497	248
ENSG00000001561	29
ENSG00000001617	283
ENSG00000001626	2298
ENSG00000001629	233
ENSG00000001630	29
ENSG00000001631	65
ENSG00000002016	124
ENSG00000002079	568
ENSG00000002330	16
ENSG00000002549	47
ENSG00000002586	98
ENSG00000002587	290
ENSG00000002726	367
ENSG00000002745	220
ENSG00000002746	3494
ENSG00000002822	1412
ENSG00000002834	85
ENSG00000002919	31
ENSG00000002933	75
ENSG00000003056	10
ENSG00000003096	1261
ENSG00000003137	123
ENSG00000003147	607
ENSG00000003249	116
ENSG00000003393	123
ENSG00000003400	197
ENSG00000003402	84
ENSG00000003436	340
ENSG00000003509	41
ENSG00000003756	37
ENSG00000003987	715
ENSG00000003989	346
ENSG00000004059	2
ENSG00000004139	183
ENSG00000004142	14
ENSG00000004399	118
ENSG00000004455	260
ENSG00000004468	197
ENSG00000004478	25
ENSG00000004487	107
ENSG00000004534	216
ENSG00000004660	341
ENSG00000004700	45
ENSG00000004766	190
ENSG00000004776	9
ENSG00000004777	55
ENSG00000004779	24
ENSG00000004799	24
ENSG00000004809	405
ENSG00000004838	32
ENSG00000004846	1113
ENSG00000004848	267
ENSG00000004864	371
ENSG00000004866	581
ENSG00000004897	106
ENSG00000004939	179
ENSG00000004948	909
ENSG00000004961	111
ENSG00000004975	18
ENSG00000005001	89
ENSG00000005007	83
ENSG00000005020	1081
ENSG00000005022	38
ENSG00000005059	308
ENSG00000005073	67
ENSG00000005075	1
ENSG00000005100	57
ENSG00000005102	230
ENSG00000005108	1619
ENSG00000005156	73
ENSG00000005175	66
ENSG00000005187	804
ENSG00000005189	84
ENSG00000005194	29
ENSG00000005206	50
ENSG00000005238	20
ENSG00000005243	42
ENSG00000005249	223
ENSG00000005302	138
ENSG00000005339	303
ENSG00000005379	350
ENSG00000005381	182
ENSG00000005421	211
ENSG00000005436	85
ENSG00000005448	39
ENSG00000005469	84
ENSG00000005471	417
ENSG00000005483	130
ENSG00000005486	85
ENSG00000005513	89
ENSG00000005700	108
ENSG00000005801	186
ENSG00000005810	395
ENSG00000005812	72
ENSG00000005844	365
ENSG00000005882	37
ENSG00000005884	291
ENSG00000005889	90
ENSG00000005893	318
ENSG00000005961	107
ENSG00000005981	521
ENSG00000006007	30
ENSG00000006015	7
ENSG00000006016	305
ENSG00000006025	156
ENSG00000006042	146
ENSG00000006047	44
ENSG00000006059	32
ENSG00000006062	122
ENSG00000006071	989
ENSG00000006116	1069
ENSG00000006118	194
ENSG00000006125	260
ENSG00000006128	105
ENSG00000006194	88
ENSG00000006210	159
ENSG00000006282	50
ENSG00000006283	842
ENSG00000006327	17
ENSG00000006377	133
ENSG00000006432	758
ENSG00000006451	130
ENSG00000006453	793
ENSG00000006459	157
ENSG00000006468	506
ENSG00000006530	187
ENSG00000006534	55
ENSG00000006555	327
ENSG00000006576	332
ENSG00000006606	65
ENSG00000006607	337
ENSG00000006611	649
ENSG00000006625	19
ENSG00000006634	68
ENSG00000006638	134
ENSG00000006652	165
ENSG00000006659	50
ENSG00000006695	398
ENSG00000006704	275
ENSG00000006712	12
ENSG00000006715	516
ENSG00000006740	1113
ENSG00000006744	55
ENSG00000006747	199
ENSG00000006756	62
ENSG00000006757	98
ENSG00000006788	557
ENSG00000006831	145
ENSG00000006837	187
ENSG00000007001	906
ENSG00000007038	146
